vöktum,vœxtʏm
hefðbundna,hɛvðpʏntna
hefðbundnar,hɛvðpʏntnar
hefðbundnari,hɛvðpʏntnarɪ
hefðbundnir,hɛvðpʏntnɪr
hefðbundnu,hɛvðpʏntnʏ
hefðbundnum,hɛvðpʏntnʏm
hefði,hɛvðɪ
hefðin,hɛvðɪn
hefðina,hɛvðɪna
hefðinni,hɛvðɪnɪ
hefðir,hɛvðɪr
hefðirðu,hɛvðɪrʏ
hefðu,hɛvðʏ
hefðuð,hɛvðʏð
hefðum,hɛvðʏm
hefður,hɛvðʏr
hefi,hɛ:vɪ
hefir,hɛ:vɪr
hefirðu,hɛ:vɪrðʏ
hefja,hɛvja
hefjast,hɛvjast
hefji,hɛvjɪ
hefjist,hɛvjɪst
hefjum,hɛvjʏm
hefna,hɛpna
hefnast,hɛpnast
hefnd,hɛmt
hefnda,hɛmta
hefndar,hɛmtar
hefndarhug,hɛmtarhʏ:ɣ
hefndarskyni,hɛmtarscɪ:nɪ
hefndin,hɛmtɪn
hefndum,hɛmtʏm
hefst,hɛfst
heft,hɛft
hefta,hɛfta
hefti,hɛftɪ
heftin,hɛftɪn
heftinu,hɛftɪnʏ
hefur,hɛ:vʏr
hefurðu,hɛ:vʏrʏ
hegða,hɛɣða
hegðað,hɛɣðað
hegðaði,hɛɣðaðɪ
hegðan,hɛɣðan
hegðar,hɛɣðar
hegðuðu,hɛɣðʏðʏ
hegðun,hɛɣðʏn
hegðunar,hɛɣðʏnar
hegðunarlegir,hɛɣðʏnarlɛ:jɪr
hegðunarmunur,hɛɣðʏnarmʏ:nʏr
hegg,hɛk
heggur,hɛkʏr
hegna,hɛkna
hegningalaga,hɛkniŋkarla:ɣa
hegningarlögum,hɛkniŋkarlœ:ɣʏm
hegranesi,hɛɣranɛ:sɪ
hegranesþing,hɛɣranɛsθiŋk
hegrar,hɛɣrar
hei,hei:
heiða,hei:ða
Heiðabæ,hei:ðapai:
Heiðabæjar,hei:ðapaijar
Heiðabær,hei:ðapai:r
heiðan,hei:ðan
heiðar,hei:ðar
Heiðarbraut,hei:ðarprœi:t
Heiðargerði,hei:ðarcɛrðɪ
heiðarleg,hei:ðarlɛɣ
heiðarlega,hei:ðarlɛɣa
heiðarlegir,hei:ðarleijɪr
heiðarlegri,hei:ðarlɛɣrɪ
heiðarlegt,hei:ðarlɛxt
heiðarlegu,hei:ðarlɛɣʏ
heiðarlegum,hei:ðarlɛɣʏm
heiðarlegur,hei:ðarlɛɣʏr
heiðarleik,hei:ðarlei:k
heiðarleika,hei:ðarlei:ka
heiðarleiki,hei:ðarlei:cɪ
Heiðars,hei:ðar̥s
Heiðarskóla,hei:ðarskou:la
heiðblár,heiðplaur
Heiðdís,heiðtis
heiði,hei:ðɪ
heiðin,hei:ðɪn
heiðina,hei:ðɪna
heiðingjar,hei:ðiɲcar
heiðinni,hei:ðɪnɪ
Heiðmar,heiðmar
Heiðmörk,heiðmœr̥k
heiðni,heiðnɪ
heiðnum,heiðnʏm
heiðra,heiðra
heiðraði,heiðraðɪ
heiðraðir,heiðraðɪr
heiðraður,heiðraðʏr
heiðri,heiðrɪ
heiðríkja,heiðrica
heiðríkju,heiðricʏ
Heiðrún,heiðrun
Heiðrúnar,heiðrunar
heiðskír,heiðscir
heiðskírt,heiðscir̥t
heiðskíru,heiðscirʏ
heiðu,hei:ðʏ
heiðum,hei:ðʏm
heiður,hei:ðʏr
heiðurinn,hei:ðʏrɪn
heiðurs,hei:ðʏr̥s
heiðursfélaga,hei:ðʏr̥sfjɛ:laɣa
heiðursfélagi,hei:ðʏr̥sfjɛ:laijɪ
heiðursgestur,hei:ðʏr̥scɛstʏr
heiðursmaður,hei:ðʏr̥sma:ðʏr
heiðursmerki,hei:ðʏr̥smɛr̥cɪ
heiðursskyni,hei:ðʏr̥scɪ:nɪ
heiðursverðlaun,hei:ðʏr̥svɛlœin
heiðvirð,heiðvɪrð
heiftarleg,heiftarlɛɣ
heiftarlega,heiftarlɛɣa
heiftarlegri,heiftarlɛɣrɪ
heiftin,heiftɪn
heiglum,heiklʏm
heigull,hei:ɣʏtl̥
heil,hei:l
heila,hei:la
heilabilað,hɛ:jlapɪ:lað
heilablóðfall,hei:laplouðfatl̥
heilablóðfallsskaðaðra,hei:laplouðfalska:ðaðra
heilablæðingar,hɛ:jlaplaj:ðiŋkar
heilabrot,hei:laprɔ:t
heilabrotum,hei:laprɔ:tʏm
heilaga,hei:laɣa
heilagan,hei:laɣan
heilagi,hei:laijɪ
heilagir,hei:laijɪr
heilagleika,hei:laɣlei:ka
heilagra,hei:laɣra
heilagrar,hei:laɣrar
heilagri,hɛ:jlaɣrɪ
heilags,hei:laxs
heilagt,hei:laxt
heilagur,hei:laɣʏr
heilahimnubólgu,hei:lahɪmnʏpoulkʏ
heilahimnur,hɛ:jlahɪmnʏr
heilahristing,hei:lar̥ɪstiŋk
heilahrörnun,hɛ:jlar̥œrtnʏn
heilan,hei:lan
heilann,hei:lan
heilans,hei:lans
heilanum,hei:lanʏm
heilar,hei:lar
heilarar,hɛ:jlarar
heilasellurnar,hei:lasɛlʏtnar
heilasýni,hɛ:jlasi:nɪ
heilavefur,hɛ:jlavɛ:vʏr
heilbrigð,heilprɪɣð
heilbrigða,heilprɪɣða
heilbrigði,heilprɪɣðɪ
heilbrigðir,heilprɪɣðɪr
heilbrigðis,heilprɪɣðɪs
heilbrigðiseftirlit,heilprɪɣðɪsɛftɪrlɪ:t
heilbrigðiseftirliti,heilprɪɣðɪsɛftɪrlɪ:tɪ
heilbrigðiseftirlits,heilprɪɣðɪsɛftɪrlɪts
heilbrigðisfulltrúa,hɛjlprɪɣðɪsfʏtl̥tʰrua
heilbrigðishópi,hɛjlprɪɣðɪshɔ:upɪ
heilbrigðishugtökum,hɛjlprɪɣðɪshʏxtʰœkʏm
heilbrigðiskerfi,heilprɪɣðɪscɛrvɪ
heilbrigðiskerfið,heilprɪɣðɪscɛrvɪð
heilbrigðiskerfinu,heilprɪɣðɪscɛrvɪnʏ
heilbrigðiskerfisins,heilprɪɣðɪscɛrvɪsɪns
heilbrigðismál,heilprɪɣðɪsmau:l
heilbrigðismála,heilprɪɣðɪsmau:la
heilbrigðismálum,heilprɪɣðɪsmau:lʏm
heilbrigðisnefnd,heilprɪɣðɪstnɛmt
heilbrigðisnefndar,heilprɪɣðɪstnɛmtar
heilbrigðisráðherra,heilprɪɣðɪsrauðhɛra
heilbrigðisráðherrann,hɛjlprɪɣðɪsra:uðhɛran
heilbrigðisráðuneytið,heilprɪɣðɪsrau:ðʏnei:tɪð
heilbrigðisráðuneytinu,heilprɪɣðɪsrau:ðʏnei:tɪnʏ
heilbrigðisráðuneytisins,heilprɪɣðɪsrau:ðʏnei:tɪsɪns
heilbrigðisskor,hɛjlprɪɣðɪskɔ:r
heilbrigðisstétta,heilprɪɣðɪstjɛhta
heilbrigðisstéttir,heilprɪɣðɪsjɛhtɪr
heilbrigðisstofnana,heilprɪɣðɪstɔpnana
heilbrigðisstofnanir,heilprɪɣðɪstɔpnanɪr
heilbrigðisstofnun,heilprɪɣðɪstɔpnʏn
heilbrigðisstofnunar,heilprɪɣðɪstɔpnʏnar
heilbrigðisstofnunum,heilprɪɣðɪstɔpnʏnʏm
heilbrigðissviði,heilprɪɣðɪsvɪ:ðɪ
heilbrigðisvandamál,heilprɪɣðɪsvantamau:l
heilbrigðisvottorð,heilprɪɣðɪsvɔhtɔrð
heilbrigðisyfirvalda,heilprɪɣðɪsɪ:vɪrvalta
heilbrigðisyfirvöld,heilprɪɣðɪsɪ:vɪrvœlt
heilbrigðisþjónusta,heilprɪɣðɪsθjou:nʏsta
heilbrigðisþjónustu,heilprɪɣðɪsθjou:nʏstʏ
heilbrigðisþjónustunnar,heilprɪɣðɪsθjou:nʏstʏnar
heilbrigðisþjónustunni,heilprɪɣðɪsθjou:nʏstʏnɪ
heilbrigðri,heilprɪɣðrɪ
heilbrigðu,heilprɪɣðʏ
heilbrigðum,heilprɪɣðʏm
heilbrigður,heilprɪɣðʏr
heilbrigt,heilprɪxt
heild,heilt
heildar,heiltar
heildarafla,heiltarapla
heildarafli,heiltaraplɪ
heildareignir,heiltareiknɪr
heildarendurskoðun,heiltarɛntʏrskɔ:ðʏn
heildarfjárfesting,hɛjltar̥fjaur̥fɛstiŋk
heildarfjölda,heiltarfjœlta
heildarfjöldi,heiltarfjœltɪ
heildarframlaga,hɛjltar̥framlaɣa
heildarheiti,hɛjltar̥hɛ:jtɪ
heildarhlutafé,heiltarl̥ʏ:tafjɛ:
heildarhlutfall,hɛjltar̥l̥ʏ:tfatl̥
heildarinnar,heiltarɪnar
heildarkaupverð,hɛjltar̥kʰœipvɛrð
heildarkostnaður,heiltarkɔstnaðʏr
heildarlaun,heiltarlœi:n
heildarlaunum,hɛjltarlœinʏm
heildarlausn,heiltarlœistn̥
heildarmagn,hɛjltarmakn̥
heildarmynd,heiltarmɪnt
heildarmyndin,hɛjltarmɪntɪn
heildarmyndina,heiltarmɪntɪna
heildarpakkann,hɛjltar̥pʰahkan
heildarrennsli,hɛjltarɛnstlɪ
heildarskipan,hɛjltar̥scɪ:pan
heildarskipulag,hɛjltar̥scɪ:pʏlaɣ
heildarskuldir,heiltarskʏltɪr
heildarslátrun,hɛjltar̥stla:utrʏn
heildarsvip,heiltarsvɪ:p
heildarsýn,heiltarsi:n
heildartekjum,heiltartɛ:cʏm
heildartekjur,heiltartɛ:cʏr
heildartextar,hɛjltar̥tɛkstar
heildarupphæð,heiltarʏhphaið
heildarverðmæti,heiltarvɛrðmaitɪ
heildina,heiltɪna
heildinni,heiltɪnɪ
heildsala,heiltsala
heildsalinn,heiltsalɪn
heildstæð,heiltstaið
heildstæða,heiltstaiða
heildstætt,heiltstaiht
heildsölu,heiltsœlʏ
heildsölufyrirtækinu,hɛjltsœlʏfɪ:rɪr̥tʰajcɪnʏ
heili,hei:lɪ
heilindi,hei:lɪntɪ
heilindum,hei:lɪntʏm
heilinn,hei:lɪn
heilir,hei:lɪr
heilkenni,heilcɛnɪ
heill,heitl̥
heilla,heitla
heillað,heitlað
heillaði,heitlaðɪ
heillaðist,heitlaðɪst
heillaður,heitlaðʏr
heillandi,heitlantɪ
heillar,heitlar
heillast,heitlast
heilleiki,hɛjlɛjcɪ
heillengi,heileiɲcɪ
heilli,heitlɪ
heillin,heitlɪn
heilluðu,heitlʏðʏ
heillum,heitlʏm
heilmargt,heilmar̥t
heilmikið,heilmɪcɪð
heilmikil,heilmɪcɪl
heilmikinn,hɛjlmɪcɪn
heilmikla,heilmɪhkla
heilmiklu,heilmɪhklʏ
heilmöskvi,hɛjlmœskvɪ
heilnæmt,heilnaim̥t
heilræði,heilraiðɪ
heils,heils
heilsa,heilsa
heilsað,heilsað
heilsaði,heilsaðɪ
heilsaðu,heilsaðʏ
heilsan,heilsan
heilsar,heilsar
heilsast,heilsast
heilshugar,heilshʏɣar
heilsíðugrein,heilsiðʏkrei:n
heilsteypt,heilsteift
heilsteypta,heilsteifta
heilsteyptur,heilsteiftʏr
heilsu,heilsʏ
heilsubótar,heilsʏpou:tar
heilsubrests,heilsʏprɛsts
heilsubúðunum,hɛjlsʏpu:ðɔnʏm
heilsubæjar,hɛjlsʏpaj:ar
heilsubætandi,hɛjlsʏpaj:tantɪ
heilsuðu,heilsʏðʏ
heilsuðumst,heilsʏðʏmst
heilsuðust,heilsʏðʏst
heilsufar,heilsʏfa:r
heilsufari,heilsʏfa:rɪ
heilsufarssögu,hɛjlsʏfar̥sœ:ɣʏ
heilsufarsupplýsingum,hɛjlsʏfar̥sʏhplisiŋkʏm
heilsugóður,hɛjlsʏkɔ:uðʏr
heilsugæsla,heilsʏcaistla
heilsugæslan,hɛjlsʏcajstlan
heilsugæslu,heilsʏcaistlʏ
heilsugæsluhjúkrunarfræðingum,hɛjlsʏcajstlʏçu:krʏnarfrajðiŋkʏm
heilsugæslulækna,heilsʏcaistlʏlaihkna
heilsugæsluna,heilsʏcaistlʏna
heilsugæslunnar,heilsʏcaistlʏnar
heilsugæslunni,heilsʏcaistlʏnɪ
heilsugæslustöð,heilsʏcaistlʏstœ:ð
heilsugæslustöðina,hɛjlsʏcajstlʏstœ:ðɪna
heilsugæslustöðva,heilsʏcaistlʏstœðva
heilsugæslustöðvanna,hɛjlsʏcajstlʏstœðvana
heilsugæslustöðvar,heilsʏcaistlʏstœðvar
heilsugæslustöðvum,heilsʏcaistlʏstœðvʏm
heilsugæsluumdæmin,heilsʏcaistlʏʏmtaimɪn
heilsuhorninu,hɛjlsʏhɔtnɪnʏ
heilsuhraust,heilsʏr̥œist
heilsuhraustur,heilsʏr̥œistʏr
heilsuhúsinu,hɛjlsʏhu:sɪnʏ
heilsuhæli,heilsʏhai:lɪ
heilsuhælið,heilsʏhai:lɪð
heilsuhælin,heilsʏhai:lɪn
heilsuhælis,hɛjlsʏha:jlɪs
heilsuleysi,heilsʏlei:sɪ
heilsum,hɛjlsʏm
heilsuna,heilsʏna
heilsunni,heilsʏnɪ
heilsurækt,heilsʏraixt
heilsuræktarhandbókina,hɛjlsʏrajxtarhantpoucɪna
heilsuræktarstöðvum,hɛjlsʏrajxtarstœðvʏm
heilsusamlegan,hɛjlsʏsamlɛɣan
heilsuspillandi,heilsʏspɪtlantɪ
heilsustofnun,heilsʏstɔpnʏn
heilsustöðvunum,hɛjlsʏstœðvɔnʏm
heilsutjóni,heilsʏtjou:nɪ
heilsuvernd,heilsʏvɛrnt
heilsuverndarstöð,heilsʏvɛrntarstœ:ð
heilt,heil̥t
heilu,hei:lʏ
heilum,hei:lʏm
heilun,hei:lʏn
heilvita,heilvɪta
heilög,hei:lœɣ
heilögu,hei:lœɣʏ
heilögum,hei:lœɣʏm
heim,hei:m
heima,hei:ma
heimabakað,hei:mapa:kað
heimaborg,hei:mapɔrk
heimabrúks,hɛ:jmapruks
heimabyggð,hei:mapɪɣð
heimabæ,hei:mapai:
heimabæjar,hɛ:jmapaj:ar
Heimaey,hei:maei:
heimafólk,hei:mafoul̥k
heimagangur,hei:makaŋkʏr
heimahafnar,hei:mahapnar
heimahaganna,hei:maha:ɣana
heimahjúkrun,hei:maçu:krʏn
heimahjúkrunar,hɛ:jmaçu:krʏnar
heimahús,hei:mahu:s
heimahúsi,hei:mahu:sɪ
heimahúsum,hei:mahu:sʏm
heimahöfn,hɛ:jmahœpn̥
heimahögum,hei:mahœ:ɣʏm
heimakominn,hei:makʰɔ:mɪn
heimakomna,hei:makʰɔmna
heimakomusýktum,hɛ:jmakʰɔ:mʏsixtʏm
heimakrókum,hɛ:jmakʰrɔ:ukʏm
heimakær,hei:macai:r
heimaland,hei:malant
heimalandi,hei:malantɪ
heimalandinu,hei:malantɪnʏ
heimalands,hei:malants
heimalandsins,hei:malantsɪns
heimaleik,hei:malei:k
heimaleiki,hei:malei:cɪ
heimalyklar,hɛ:jmalɪhklar
heimalöndum,hei:malœntʏm
heimamanna,hei:mamana
heimamarkaði,hei:mamar̥kaðɪ
heimamenn,hei:mamɛn
heimamönnum,hei:mamœnʏm
heiman,hei:man
heimana,hei:mana
heimangengt,hei:manceiŋ̊t
heimanmund,hei:manmʏnt
heimanrekinna,hɛ:jmanrɛ:cɪna
heimar,hei:mar
heimasíða,hei:masi:ða
heimasíðna,hɛ:jmasiðna
heimasíðu,hei:masi:ðʏ
heimasíðum,hei:masi:ðʏm
heimasíðuna,hei:masi:ðʏna
heimasíðunni,hei:masi:ðʏnɪ
heimasíður,hei:masi:ðʏr
heimasími,hei:masi:mɪ
heimaslóðir,hei:mastlou:ðɪr
heimaslóðum,hei:mastlou:ðʏm
heimastjórn,hei:mastjourtn̥
heimastjórnar,hei:mastjourtnar
heimastjórnarinnar,hei:mastjourtnarɪnar
heimastjórnarsvæðinu,hɛ:jmastjourtnarsva:jðɪnʏ
heimastjórnin,hei:mastjourtnɪn
heimastjórninni,hei:mastjourtnɪnɪ
heimasætur,hei:masai:tʏr
heimatak,hɛ:jmatʰa:k
heimatúnið,hei:matu:nɪð
heimatökin,hɛ:jmatʰœ:cɪn
heimavelli,hei:mavɛtlɪ
heimaverkefnið,hɛ:jmavɛr̥kɛpnɪð
heimaverkefnin,hei:mavɛr̥kɛpnɪn
heimavinnandi,hei:mavɪnantɪ
heimavinnu,hei:mavɪnʏ
heimavist,hei:mavɪst
heimavistarskóla,hei:mavɪstarskou:la
heimavöllurinn,hɛ:jmavœtlʏrɪn
heimaþjónustu,hei:maθjou:nʏstʏ
heimboð,heimpɔð
Heimdallar,heimtatlar
heimdallur,hɛjmtatlʏr
heimdraganum,heimtraɣanʏm
heimferð,heimfɛrð
heimferðin,heimfɛrðɪn
heimferðina,heimfɛrðɪna
heimfluginu,hɛjmflʏjɪnʏ
heimfæra,heimfaira
heimför,heimfœr
heimi,hei:mɪ
heimil,hei:mɪl
heimila,hei:mɪla
heimilað,hei:mɪlað
heimilaði,hei:mɪlaðɪ
heimilanna,hei:mɪlana
heimilar,hei:mɪlar
heimild,hei:mɪlt
heimilda,hei:mɪlta
heimildaefni,hei:mɪltaɛpnɪ
heimildakönnun,hɛ:jmɪltakʰœnʏn
heimildamann,hei:mɪltaman
heimildamynd,hei:mɪltamɪnt
heimildamyndir,hei:mɪltamɪntɪr
heimildar,hei:mɪltar
heimildarbeiðnum,hɛ:jmɪltarpɛjðnʏm
heimildarkvikmynd,hɛ:jmɪltakʰvɪkmɪnt
heimildarmaður,hɛ:jmɪltarma:ðʏr
heimildarmanna,hei:mɪltarmana
heimildarmenn,hei:mɪltarmɛn
heimildarmynd,hei:mɪltarmɪnt
heimildarmynda,hɛ:jmɪltarmɪnta
heimildarmyndir,hei:mɪltarmɪntɪr
heimildin,hei:mɪltɪn
heimildir,hei:mɪltɪr
heimildirnar,hei:mɪltɪtnar
heimildum,hei:mɪltʏm
heimili,hei:mɪlɪ
heimilið,hei:mɪlɪð
heimilin,hei:mɪlɪn
heimilinu,hei:mɪlɪnʏ
heimilis,hei:mɪlɪs
heimilisfaðir,hei:mɪlɪsfa:ðɪr
heimilisfang,hei:mɪlɪsfaŋk
heimilisfangi,hei:mɪlɪsfaɲcɪ
heimilisfólk,hei:mɪlɪsfoul̥k
heimilisfólkið,hei:mɪlɪsfoul̥cɪð
heimilisfólksins,hɛ:jmɪlɪsfoul̥ksɪns
heimilisfræði,hei:mɪlɪsfrai:ðɪ
heimilisfræðikennslu,hɛ:jmɪlɪsfra:jðɪcʰɛnstlʏ
heimilisföng,hei:mɪlɪsfœiŋk
heimilisföngum,hei:mɪlɪsfœiŋkʏm
heimilishald,hei:mɪlɪshalt
heimilishaldi,hei:mɪlɪshaltɪ
heimilisins,hei:mɪlɪsɪns
heimilislegt,hei:mɪlɪstlɛxt
heimilislækna,hei:mɪlɪstlaihkna
heimilislæknar,hei:mɪlɪstlaihknar
heimilislækni,hei:mɪlɪstlaihknɪ
heimilislækningum,hei:mɪlɪstlaihkniŋkʏm
heimilislæknir,hei:mɪlɪstlaihknɪr
heimilislæknirinn,hei:mɪlɪstlaihknɪrɪn
heimilislæknum,hei:mɪlɪstlaihknʏm
heimilisofbeldi,hei:mɪlɪsɔvpɛltɪ
heimilisofbeldis,hɛ:jmɪlɪsɔvpɛltɪs
heimilisstörfin,hei:mɪlɪstœrvɪn
heimilistæki,hɛ:jmɪlɪstʰaj:cɪ
heimilistölva,hɛ:jmɪlɪstœlva
heimilisuppbót,hei:mɪlɪsʏhpout
heimill,hei:mɪtl̥
heimilskatta,hɛ:jmɪlskahta
heimilt,hei:mɪl̥t
heimiluð,hei:mɪlʏð
heimilum,hei:mɪlʏm
heimilunum,hei:mɪlɔnʏm
heiminn,hei:mɪn
heiminum,hei:mɪnʏm
Heimir,hei:mɪr
Heimis,hei:mɪs
Heimisdóttir,hei:mɪstouhtɪr
heimisdóttur,hɛ:jmɪstouhtʏr
Heimisson,hei:mɪsɔ:n
heimkomu,heimkʰɔmʏ
heimkomuna,heimkʰɔmʏna
heimkynna,heimcɪna
heimkynni,heimcɪnɪ
heimkynnum,heimcɪnʏm
heimleið,heimleið
heimleiðinni,heimleiðɪnɪ
heimleiðis,heimleiðɪs
heimreiðina,heimreiðɪna
heimreiðinni,heimreiðɪnɪ
heims,heims
heimsambandið,hɛjmsampantɪð
heimsathygli,heimsatɪklɪ
heimsálfa,heimsaulva
heimsálfu,heimsaulvʏ
heimsálfum,heimsaulvʏm
heimsborgari,heimspɔrkarɪ
heimsbókmenntanna,hɛjmspoukmɛn̥tana
heimsbyggðarinnar,heimspɪɣðarɪnar
heimsbyggðin,heimspɪɣðɪn
heimsbyggðina,heimspɪɣðɪna
heimsbyggðinni,heimspɪɣðɪnɪ
heimsbörnin,hɛjmspœrtnɪn
heimsenda,heimsɛnta
heimsendi,heimsɛntɪ
heimsendingu,heimsɛntiŋkʏ
heimsendir,heimsɛntɪr
heimsfengs,hɛjmsfɛjŋs
heimsferða,heimsfɛrða
heimsferðir,hɛjmsfɛrðɪr
heimsforeldri,hɛjmsfɔrɛltrɪ
heimsforseti,hɛjmsfɔr̥sɛtɪ
heimsfótbolti,heimsfoupɔl̥tɪ
heimsfrægð,heimsfraiɣð
heimsfrægur,heimsfraiɣʏr
heimshluta,heimsl̥ʏta
heimshlutum,heimsl̥ʏtʏm
heimshornum,heimshɔtnʏm
heimsins,heimsɪns
heimsk,heimsk
heimska,heimska
heimskan,heimskan
heimskari,heimskarɪ
heimskauti,hɛjmskœjtɪ
heimskautsbaug,hɛjmskœjtspœiɣ
heimskautsbaugurinn,hɛjmskœjtspœiɣʏrɪn
heimskingi,heimsciɲcɪ
heimskir,heimscɪr
heimskringla,hɛjmskʰriŋla
heimskringlu,heimskriŋklʏ
heimskringlunni,heimskriŋklʏnɪ
heimsku,heimskʏ
heimskuleg,heimskʏlɛɣ
heimskulegar,heimskʏlɛɣar
heimskulegt,heimskʏlɛxt
heimskulegu,heimskʏlɛɣʏ
heimskum,hɛjmskʏm
heimskupör,heimskʏpœ:r
heimskur,heimskʏr
heimsmaður,heimsmaðʏr
heimsmarkaði,heimsmar̥kaðɪ
heimsmarkaðsverði,heimsmar̥kaðsvɛrðɪ
heimsmálin,heimsmaulɪn
heimsmeistara,heimsmeistara
heimsmeistaraeinvígi,hɛjmsmɛjstaraɛjnvijɪ
heimsmeistarakeppni,heimsmeistaracɛhpnɪ
heimsmeistarakeppnin,hɛjmsmɛjstaracʰɛhpnɪn
heimsmeistarakeppnina,heimsmeistaracɛhpnɪna
heimsmeistarakeppninnar,heimsmeistaracɛhpnɪnar
heimsmeistarakeppninni,heimsmeistaracɛhpnɪnɪ
heimsmeistaramóti,heimsmeistaramou:tɪ
heimsmeistaramótið,heimsmeistaramou:tɪð
heimsmeistaramótinu,heimsmeistaramou:tɪnʏ
heimsmeistaramótsins,heimsmeistaramoutsɪns
heimsmeistarar,heimsmeistarar
heimsmeistaratitilinn,heimsmeistaratɪ:tɪtlɪn
heimsmeistari,heimsmeistarɪ
heimsmeistarinn,heimsmeistarɪn
heimsmet,heimsmɛt
heimsmetið,heimsmɛtɪð
heimsmynd,heimsmɪnt
heimsmælikvarða,heimsmailɪkvarða
heimsókn,heimsouhkn̥
heimsókna,heimsouhkna
heimsóknar,heimsouhknar
heimsóknarinnar,heimsouhknarɪnar
heimsóknartímar,heimsouhknarti:mar
heimsóknartími,heimsouhknarti:mɪ
heimsóknin,heimsouhknɪn
heimsóknina,heimsouhknɪna
heimsókninni,heimsouhknɪnɪ
heimsóknir,heimsouhknɪr
heimsóknirnar,heimsouhknɪtnar
heimsóknum,heimsouhknʏm
heimsótt,heimsouht
heimsótti,heimsouhtɪ
heimsóttir,heimsouhtɪr
heimsóttu,heimsouhtʏ
heimsóttum,heimsouhtʏm
heimspeki,heimspɛcɪ
heimspekideild,heimspɛcɪteilt
heimspekideildar,heimspɛcɪteiltar
heimspekihefðar,hɛjmspɛcɪhɛvðar
heimspekilegar,heimspɛcɪlɛɣar
heimspekilegi,hɛjmspɛcɪlɛjɪ
heimspekilegum,heimspɛcɪlɛɣʏm
heimspekin,hɛjmspɛcɪn
heimspekinga,heimspɛciŋka
heimspekingar,heimspɛciŋkar
heimspekingsins,heimspɛciŋsɪns
heimspekingur,heimspɛciŋkʏr
heimspekingurinn,heimspɛciŋkʏrɪn
heimspekinnar,heimspɛcɪnar
heimspekiskorinni,hɛjmspɛcɪskɔ:rɪnɪ
heimsskipan,hɛjmscɪpan
heimsstyrjaldar,heimstɪrjaltar
heimsstyrjaldarinnar,heimstɪrjaltarɪnar
heimsstyrjöld,heimstɪrjœlt
heimsstyrjöldin,heimstɪrjœltɪn
heimsstyrjöldina,heimstɪrjœltɪna
heimsstyrjöldinni,heimstɪrjœltɪnɪ
heimssýningunni,heimsiniŋkʏnɪ
heimsveldi,heimsvɛltɪ
heimsveldið,heimsvɛltɪð
heimsveldisins,heimsvɛltɪsɪns
heimsvísu,heimsvisʏ
heimsæki,heimsaicɪ
heimsækir,heimsaicɪr
heimsækja,heimsaica
heimta,heim̥ta
heimtað,heim̥tað
heimtaði,heim̥taðɪ
heimtar,heim̥tar
heimtaugar,hɛjmtʰœjɣar
heimtaugargjald,hɛjm̥tœjɣarcalt
heimtingu,heim̥tiŋkʏ
heimtuðu,heim̥tʏðʏ
heimum,hei:mʏm
heimur,hei:mʏr
heimurinn,hei:mʏrɪn
heimþrá,heimθrau
heit,hei:t
heita,hei:ta
heitan,hei:tan
heitar,hei:tar
heitara,hei:tara
heitari,hei:tarɪ
heitasta,hei:tasta
heitastur,hɛ:jtastʏr
heiti,hei:tɪ
heitið,hei:tɪð
heitin,hei:tɪn
heitinn,hei:tɪn
heitins,hei:tɪns
heitinu,hei:tɪnʏ
heitir,hei:tɪr
heitirðu,hei:tɪrʏ
heitnir,hɛjhtnɪr
heitnum,heihtnʏm
heitreykt,hɛ:jtʰrɛjxt
heitri,hei:trɪ
heitt,heiht
heitu,hei:tʏ
heitum,hei:tʏm
heitur,hei:tʏr
heitustu,hɛ:jtʏstʏ
Hekla,hɛhkla
heklaði,hɛhklaðɪ
Heklu,hɛhklʏ
heklugjá,hɛhklʏca:u
heklunálar,hɛhklʏna:ular
heklunálina,hɛhklʏnau:lɪna
Heklusport,hɛhklʏspɔr̥t
hektara,hɛxtara
hektarar,hɛxtarar
hektó,hɛxtou
hekturum,hɛxtʏrʏm
hel,hɛ:l
helber,hɛlpɛr
held,hɛlt
heldra,hɛltra
heldri,hɛltrɪ
heldur,hɛltʏr
heldurðu,hɛltʏrʏ
Helena,hɛ:lɛna
Helenu,hɛ:lɛnʏ
helg,hɛlk
Helga,hɛlka
Helgadóttir,hɛlkatouhtɪr
Helgadóttur,hɛlkatouhtʏr
helgað,hɛlkað
helgaði,hɛlkaðɪ
helgaðir,hɛlkaðɪr
helgaður,hɛlkaðʏr
Helgafell,hɛlkafɛtl̥
Helgafelli,hɛlkafɛtlɪ
Helgafells,hɛlkafɛls
helgafellsbraut,hɛlkafɛlsprœit
helgan,hɛlkan
helgar,hɛlkar
helgarferð,hɛlkarfɛrð
helgarhopp,hɛlkarhɔhp
helgarinnar,hɛlkarɪnar
helgaropnun,hɛlkarɔhpnʏn
helgarskapið,hɛlkarska:pɪð
Helgarsportið,hɛlkarspɔr̥tɪð
helgarstemmningu,hɛlkarstɛmiŋkʏ
Helgarútgáfan,hɛlkaru:tkauvan
helgarþjónustu,hɛlkarθjou:nʏstʏ
Helgason,hɛlkasɔ:n
Helgasonar,hɛlkasɔ:nar
helgast,hɛlkast
helgasta,hɛlkasta
Helgasyni,hɛlkasɪ:nɪ
Helgi,hɛlcɪ
helgidaga,hɛlcɪta:ɣa
helgidómur,hɛlcɪtou:mʏr
helgidögum,hɛlcɪtœ:ɣʏm
helgihald,hɛlcɪhalt
